chave,lat,lon,metodo,extra
BRASILAPI 48280000,,,BrasilAPI,"Mata de São João,BA"
BRASILAPI 04534010,,,BrasilAPI,"São Paulo,SP"
BRASILAPI 43700000,,,BrasilAPI,"Simões Filho,BA"
BRASILAPI 34007378,,,BrasilAPI,"Nova Lima,MG"
BRASILAPI 57300000,,,BrasilAPI_None,
BRASILAPI 14708210,,,BrasilAPI,"Bebedouro,SP"
BRASILAPI 42840692,,,BrasilAPI,"Camaçari,BA"
BRASILAPI 89240000,,,BrasilAPI,"São Francisco do Sul,SC"
BRASILAPI 84261020,,,BrasilAPI,"Telêmaco Borba,PR"
BRASILAPI 41745005,,,BrasilAPI,"Salvador,BA"
BRASILAPI 41230180,,,BrasilAPI,"Salvador,BA"
BRASILAPI 53130515,,,BrasilAPI,"Olinda,PE"
BRASILAPI 65800000,,,BrasilAPI,"Balsas,MA"
BRASILAPI 41810215,,,BrasilAPI,"Salvador,BA"
BRASILAPI 53260640,,,BrasilAPI,"Olinda,PE"
BRASILAPI 78770000,,,BrasilAPI,"Alto Garças,MT"
BRASILAPI 68580000,,,BrasilAPI,"Itupiranga,PA"
BRASILAPI 44073540,,,BrasilAPI,"Feira de Santana,BA"
BRASILAPI 44085370,,,BrasilAPI,"Feira de Santana,BA"
BRASILAPI 25255030,,,BrasilAPI,"Duque de Caxias,RJ"
BRASILAPI 07124000,,,BrasilAPI,"Guarulhos,SP"
BRASILAPI 77700000,,,BrasilAPI,"Guaraí,TO"
BRASILAPI 78652000,,,BrasilAPI,"Confresa,MT"
BRASILAPI 65200000,,,BrasilAPI,"Pinheiro,MA"
BRASILAPI 65300000,,,BrasilAPI_None,
BRASILAPI 66077000,,,BrasilAPI,"Belém,PA"
BRASILAPI 66077530,,,BrasilAPI_None,
BRASILAPI 65950000,,,BrasilAPI,"Barra do Corda,MA"
BRASILAPI 65300001,,,BrasilAPI,"Santa Inês,MA"
BRASILAPI 65306320,,,BrasilAPI,"Santa Inês,MA"
BRASILAPI 62504142,,,BrasilAPI,"Itapipoca,CE"
BRASILAPI 48909725,,,BrasilAPI,"Juazeiro,BA"
BRASILAPI 45986330,,,BrasilAPI,"Teixeira de Freitas,BA"
BRASILAPI 49085100,,,BrasilAPI,"Aracaju,SE"
BRASILAPI 64601382,,,BrasilAPI,"Picos,PI"
BRASILAPI 49030270,,,BrasilAPI,"Aracaju,SE"
BRASILAPI 65095602,,,BrasilAPI,"São Luís,MA"
BRASILAPI 79080761,,,BrasilAPI,"Campo Grande,MS"
BRASILAPI 78065270,,,BrasilAPI,"Cuiabá,MT"
BRASILAPI 68742740,,,BrasilAPI,"Castanhal,PA"
BRASILAPI 44180000,,,BrasilAPI,"Antônio Cardoso,BA"
BRASILAPI 65917033,,,BrasilAPI,"Imperatriz,MA"
BRASILAPI 78735327,,,BrasilAPI,"Rondonópolis,MT"
BRASILAPI 26435210,,,BrasilAPI,"Japeri,RJ"
BRASILAPI 88220000,,,BrasilAPI,"Itapema,SC"
BRASILAPI 67113330,,,BrasilAPI,"Ananindeua,PA"
BRASILAPI 49026010,,,BrasilAPI,"Aracaju,SE"
BRASILAPI 30330000,,,BrasilAPI,"Belo Horizonte,MG"
BRASILAPI 29045403,,,BrasilAPI,"Vitória,ES"
BRASILAPI 35409001,,,BrasilAPI,"Ouro Preto,MG"
BRASILAPI 29375000,,,BrasilAPI,"Venda Nova do Imigrante,ES"
BRASILAPI 11660330,,,BrasilAPI,"Caraguatatuba,SP"
BRASILAPI 65076820,,,BrasilAPI,"São Luís,MA"
BRASILAPI 07700210,,,BrasilAPI,"Caieiras,SP"
BRASILAPI 56312385,,,BrasilAPI,"Petrolina,PE"
BRASILAPI 65606060,,,BrasilAPI,"Caxias,MA"
BRASILAPI 59295444,,,BrasilAPI,"São Gonçalo do Amarante,RN"
BRASILAPI 42717000,,,BrasilAPI,"Lauro de Freitas,BA"
BRASILAPI 57071180,,,BrasilAPI,"Maceió,AL"
BRASILAPI 65065470,,,BrasilAPI,"São Luís,MA"
BRASILAPI 18013000,,,BrasilAPI,"Sorocaba,SP"
BRASILAPI 29161414,,,BrasilAPI,"Serra,ES"
BRASILAPI 78525000,,,BrasilAPI,"Matupá,MT"
BRASILAPI 35681127,,,BrasilAPI,"Itaúna,MG"
BRASILAPI 65470000,,,BrasilAPI,"São Mateus do Maranhão,MA"
BRASILAPI 03527900,,,BrasilAPI,"São Paulo,SP"
BRASILAPI 53520785,,,BrasilAPI,"Abreu e Lima,PE"
BRASILAPI 55195500,,,BrasilAPI,"Santa Cruz do Capibaribe,PE"
BRASILAPI 75123370,,,BrasilAPI,"Anápolis,GO"
BRASILAPI 65090272,,,BrasilAPI,"São Luís,MA"
BRASILAPI 61946215,,,BrasilAPI,"Maranguape,CE"
BRASILAPI 57032901,,,BrasilAPI,"Maceió,AL"
BRASILAPI 57037901,,,BrasilAPI,"Maceió,AL"
BRASILAPI 09520110,,,BrasilAPI,"São Caetano do Sul,SP"
BRASILAPI 88301300,,,BrasilAPI,"Itajaí,SC"
BRASILAPI 78115146,,,BrasilAPI_None,
BRASILAPI 65073212,,,BrasilAPI,"São Luís,MA"
BRASILAPI 04795915,,,BrasilAPI,"São Paulo,SP"
BRASILAPI 45820095,,,BrasilAPI,"Eunápolis,BA"
BRASILAPI 44007775,,,BrasilAPI,"Feira de Santana,BA"
BRASILAPI 63040005,,,BrasilAPI,"Juazeiro do Norte,CE"
BRASILAPI 65130000,,,BrasilAPI,"Paço do Lumiar,MA"
BRASILAPI 54759000,,,BrasilAPI,"Camaragibe,PE"
BRASILAPI 57061110,,,BrasilAPI,"Maceió,AL"
BRASILAPI 54325440,,,BrasilAPI,"Jaboatão dos Guararapes,PE"
BRASILAPI 68660000,,,BrasilAPI,"São Miguel do Guamá,PA"
BRASILAPI 56318525,,,BrasilAPI,"Petrolina,PE"
BRASILAPI 49095650,,,BrasilAPI,"Aracaju,SE"
BRASILAPI 88308004,,,BrasilAPI,"Itajaí,SC"
BRASILAPI 41720200,,,BrasilAPI,"Salvador,BA"
BRASILAPI 88340000,,,BrasilAPI_None,
BRASILAPI 78158207,,,BrasilAPI,"Várzea Grande,MT"
BRASILAPI 78110000,,,BrasilAPI,"Várzea Grande,MT"
BRASILAPI 57480000,,,BrasilAPI,"Delmiro Gouveia,AL"
BRASILAPI 88330116,,,BrasilAPI,"Balneário Camboriú,SC"
BRASILAPI 75131500,,,BrasilAPI,"Anápolis,GO"
BRASILAPI 45651135,,,BrasilAPI,"Ilhéus,BA"
BRASILAPI 45055090,,,BrasilAPI,"Vitória da Conquista,BA"
BRASILAPI 45028100,,,BrasilAPI,"Vitória da Conquista,BA"
BRASILAPI 58200000,,,BrasilAPI,"Guarabira,PB"
BRASILAPI 38701044,,,BrasilAPI,"Patos de Minas,MG"
BRASILAPI 37410117,,,BrasilAPI,"Três Corações,MG"
BRASILAPI 13503183,,,BrasilAPI,"Rio Claro,SP"
BRASILAPI 34018006,,,BrasilAPI,"Nova Lima,MG"
BRASILAPI 78740138,,,BrasilAPI,"Rondonópolis,MT"
BRASILAPI 07115000,,,BrasilAPI,"Guarulhos,SP"
BRASILAPI 68625140,,,BrasilAPI,"Paragominas,PA"
BRASILAPI 45655650,,,BrasilAPI,"Ilhéus,BA"
BRASILAPI 42827000,,,BrasilAPI_None,
BRASILAPI 53416710,,,BrasilAPI,"Paulista,PE"
BRASILAPI 15520000,,,BrasilAPI,"Valentim Gentil,SP"
BRASILAPI 88132010,,,BrasilAPI,"Palhoça,SC"
BRASILAPI 88390000,,,BrasilAPI,"Barra Velha,SC"
BRASILAPI 46190810,,,BrasilAPI_None,
BRASILAPI 38722971,,,BrasilAPI,"Lagoa Formosa,MG"
BRASILAPI 76550000,,,BrasilAPI,"Porangatu,GO"
BRASILAPI 72225512,,,BrasilAPI,"Brasília,DF"
BRASILAPI 48282970,,,BrasilAPI_None,
BRASILAPI 57200000,,,BrasilAPI,"Penedo,AL"
BRASILAPI 70673621,,,BrasilAPI,"Brasília,DF"
BRASILAPI 68552010,,,BrasilAPI,"Redenção,PA"
BRASILAPI 42841000,,,BrasilAPI_None,
BRASILAPI 42821658,,,BrasilAPI,"Camaçari,BA"
BRASILAPI 66825010,,,BrasilAPI,"Belém,PA"
BRASILAPI 41280117,,,BrasilAPI,"Salvador,BA"
BRASILAPI 22775090,,,BrasilAPI,"Rio de Janeiro,RJ"
BRASILAPI 41195001,,,BrasilAPI,"Salvador,BA"
BRASILAPI 28110000,,,BrasilAPI,"Campos dos Goytacazes,RJ"
BRASILAPI 13178535,,,BrasilAPI,"Sumaré,SP"
BRASILAPI 58088200,,,BrasilAPI,"João Pessoa,PB"
BRASILAPI 23092001,,,BrasilAPI,"Rio de Janeiro,RJ"
BRASILAPI 08260000,,,BrasilAPI,"São Paulo,SP"
BRASILAPI 14176855,,,BrasilAPI,"Sertãozinho,SP"
BRASILAPI 48924999,,,BrasilAPI_None,
BRASILAPI 04788000,,,BrasilAPI,"São Paulo,SP"
BRASILAPI 78055125,,,BrasilAPI,"Cuiabá,MT"
BRASILAPI 40301500,,,BrasilAPI,"Salvador,BA"
BRASILAPI 68445000,,,BrasilAPI,"Barcarena,PA"
BRASILAPI 72870001,,,BrasilAPI,"Valparaíso de Goiás,GO"
BRASILAPI 38446306,,,BrasilAPI,"Araguari,MG"
BRASILAPI 06029900,,,BrasilAPI,"Osasco,SP"
BRASILAPI 78750340,,,BrasilAPI,"Rondonópolis,MT"
BRASILAPI 44550000,,,BrasilAPI,"São Felipe,BA"
BRASILAPI 48110000,,,BrasilAPI,"Catu,BA"
BRASILAPI 25955000,,,BrasilAPI,"Teresópolis,RJ"
BRASILAPI 65716000,,,BrasilAPI,"Paulo Ramos,MA"
BRASILAPI 35550000,,,BrasilAPI,"Itapecerica,MG"
BRASILAPI 44380000,,,BrasilAPI,"Cruz das Almas,BA"
BRASILAPI 48370000,,,BrasilAPI,"Esplanada,BA"
BRASILAPI 05461000,,,BrasilAPI,"São Paulo,SP"
BRASILAPI 77001010,,,BrasilAPI,"Palmas,TO"
BRASILAPI 77021623,,,BrasilAPI,"Palmas,TO"
BRASILAPI 72304103,,,BrasilAPI,"Brasília,DF"
BRASILAPI 61760000,,,BrasilAPI,"Eusébio,CE"
BRASILAPI 76820862,,,BrasilAPI,"Porto Velho,RO"
BRASILAPI 44400000,,,BrasilAPI,"Nazaré,BA"
BRASILAPI 58108531,,,BrasilAPI,"Cabedelo,PB"
BRASILAPI 48500000,,,BrasilAPI,"Euclides da Cunha,BA"
BRASILAPI 41680111,,,BrasilAPI,"Salvador,BA"
BRASILAPI 14533013,,,BrasilAPI_None,
BRASILAPI 27524112,,,BrasilAPI,"Resende,RJ"
BRASILAPI 83005390,,,BrasilAPI,"São José dos Pinhais,PR"
BRASILAPI 13200180,,,BrasilAPI_None,
BRASILAPI 57081110,,,BrasilAPI,"Maceió,AL"
BRASILAPI 40295020,,,BrasilAPI,"Salvador,BA"
BRASILAPI 40295035,,,BrasilAPI,"Salvador,BA"
BRASILAPI 42735100,,,BrasilAPI,"Lauro de Freitas,BA"
BRASILAPI 11065100,,,BrasilAPI,"Santos,SP"
BRASILAPI 42833000,,,BrasilAPI,"Camaçari,BA"
